modal,hora_pedido,dt,Ano,Mês,Dia,hora,Dia da Semana,Parte do dia,Bairro,Cidade,País
CAR,2020-10-14 11:45:45.200,2020-10-14,2020,Outubro,14,11,Quarta-feira,Manhã, S.LESTE UNIVERSITARIO, GOIANIA, Brazil
CAR,2020-10-14 11:44:00.017,2020-10-14,2020,Outubro,14,11,Quarta-feira,Manhã, S.LESTE UNIVERSITARIO, GOIANIA, Brazil
CAR,2020-10-14 11:30:35.849,2020-10-14,2020,Outubro,14,11,Quarta-feira,Manhã, S.LESTE UNIVERSITARIO, GOIANIA, Brazil
CAR,2020-10-14 10:59:39.420,2020-10-14,2020,Outubro,14,10,Quarta-feira,Manhã, CONJUNTO RIVIERA, GOIANIA, Brazil
CAR,2020-10-14 10:42:09.247,2020-10-14,2020,Outubro,14,10,Quarta-feira,Manhã, CONJUNTO RIVIERA, GOIANIA, Brazil
CAR,2020-10-14 10:56:13.591,2020-10-14,2020,Outubro,14,10,Quarta-feira,Manhã, CONJUNTO RIVIERA, GOIANIA, Brazil
CAR,2020-10-14 17:43:34.964,2020-10-14,2020,Outubro,14,17,Quarta-feira,Tarde, JARDIM COLORADO, GOIANIA, Brazil
CAR,2020-10-14 10:47:12.366,2020-10-14,2020,Outubro,14,10,Quarta-feira,Manhã, SETOR LESTE UNIVERSITÁRIO, GOIANIA, Brazil
CAR,2020-10-14 13:13:30.727,2020-10-14,2020,Outubro,14,13,Quarta-feira,Tarde, SETOR LESTE UNIVERSITÁRIO, GOIANIA, Brazil
CAR,2020-10-14 13:39:44.832,2020-10-14,2020,Outubro,14,13,Quarta-feira,Tarde, SETOR LESTE UNIVERSITÁRIO, GOIANIA, Brazil
CAR,2020-10-14 13:05:17.866,2020-10-14,2020,Outubro,14,13,Quarta-feira,Tarde, SETOR LESTE UNIVERSITÁRIO, GOIANIA, Brazil
CAR,2020-10-14 15:13:24.880,2020-10-14,2020,Outubro,14,15,Quarta-feira,Tarde, Setor Sudoeste, GOIANIA, Brazil
CAR,2020-10-14 06:07:17.816,2020-10-14,2020,Outubro,14,6,Quarta-feira,Manhã, Setor Sudoeste, GOIANIA, Brazil
CAR,2020-10-14 15:38:10.676,2020-10-14,2020,Outubro,14,15,Quarta-feira,Tarde, JARDIM GOIAS, GOIANIA, Brazil
CAR,2020-10-14 14:32:35.020,2020-10-14,2020,Outubro,14,14,Quarta-feira,Tarde, JARDIM GOIAS, GOIANIA, Brazil
CAR,2021-02-13 13:04:09.189,2021-02-13,2021,Fevereiro,13,13,Sábado,Tarde, JARDIM GOIAS, GOIANIA, Brazil
CAR,2021-02-13 14:39:49.426,2021-02-13,2021,Fevereiro,13,14,Sábado,Tarde, JARDIM GOIAS, GOIANIA, Brazil
CAR,2021-02-13 15:12:08.452,2021-02-13,2021,Fevereiro,13,15,Sábado,Tarde, JARDIM GOIAS, GOIANIA, Brazil
CAR,2021-02-13 12:35:19.121,2021-02-13,2021,Fevereiro,13,12,Sábado,Tarde, SET BUENO, GOIANIA, Brazil
CAR,2020-09-04 09:50:47.198,2020-09-04,2020,Setembro,4,9,Sexta-feira,Manhã, JARDIM GOIAS, GOIANIA, Brazil
CAR,2020-09-04 16:05:40.388,2020-09-04,2020,Setembro,4,16,Sexta-feira,Tarde, SETOR LESTE UNIVERSITÁRIO, GOIANIA, Brazil
CAR,2020-09-04 15:55:54.266,2020-09-04,2020,Setembro,4,15,Sexta-feira,Tarde, SETOR LESTE UNIVERSITÁRIO, GOIANIA, Brazil
CAR,2021-01-25 15:17:37.373,2021-01-25,2021,Janeiro,25,15,Segunda-feira,Tarde, JARDIM GUANABARA, GOIANIA, Brazil
CAR,2021-01-25 13:31:13.376,2021-01-25,2021,Janeiro,25,13,Segunda-feira,Tarde, JARDIM GUANABARA, GOIANIA, Brazil
CAR,2021-01-15 11:35:32.665,2021-01-15,2021,Janeiro,15,11,Sexta-feira,Manhã, JARDIM GOIAS, GOIANIA, Brazil
CAR,2021-01-15 11:32:23.113,2021-01-15,2021,Janeiro,15,11,Sexta-feira,Manhã, JARDIM GOIAS, GOIANIA, Brazil
