Profile Name,Start Time,Duration,Device Type,Bookmark,Latest Bookmark,Country,Ano,Mês,Dia,hour,Dia da Semana,Duration (min),Duration (hours),Duration (days),Name Title,Temporada,Episódio,Type View,Parte do dia
Jheysson,2021-02-21 04:45:47,00:28:43,Samsung 2015 NT14M DTV Smart TV,00:29:22,00:29:22,BR (Brazil),2021,Fevereiro,21,4,Domingo,28.716666666666665,0.4786111111111111,0.01994212962962963,Cidade Invisível, Temporada 1, É muito maior do que a gente (Episódio 7),Serie TV,Madrugada
Jheysson,2021-02-21 04:18:37,00:26:59,Samsung 2015 NT14M DTV Smart TV,00:27:36,00:27:36,BR (Brazil),2021,Fevereiro,21,4,Domingo,26.983333333333334,0.44972222222222225,0.018738425925925926,Cidade Invisível, Temporada 1, Coisa de criança (Episódio 6),Serie TV,Madrugada
Jheysson,2021-02-21 03:47:16,00:31:13,Samsung 2015 NT14M DTV Smart TV,00:31:53,00:31:53,BR (Brazil),2021,Fevereiro,21,3,Domingo,31.216666666666665,0.5202777777777777,0.021678240740740738,Cidade Invisível, Temporada 1, Você não vai acreditar em mim (Episódio 5),Serie TV,Madrugada
Jheysson,2021-02-21 03:12:37,00:34:23,Samsung 2015 NT14M DTV Smart TV,00:35:04,00:35:04,BR (Brazil),2021,Fevereiro,21,3,Domingo,34.38333333333333,0.5730555555555555,0.023877314814814813,Cidade Invisível, Temporada 1, A Cuca vai pegar (Episódio 4),Serie TV,Madrugada
Jheysson,2021-02-21 03:09:33,00:02:06,Samsung 2015 NT14M DTV Smart TV,00:34:23,00:34:23,BR (Brazil),2021,Fevereiro,21,3,Domingo,2.1,0.035,0.0014583333333333334,Cidade Invisível, Temporada 1, Eles estão entre nós (Episódio 3),Serie TV,Madrugada
Jheysson,2021-02-21 02:28:27,00:33:00,Samsung 2015 NT14M DTV Smart TV,00:33:38,Not latest view,BR (Brazil),2021,Fevereiro,21,2,Domingo,33.0,0.55,0.02291666666666667,Cidade Invisível, Temporada 1, Eles estão entre nós (Episódio 3),Serie TV,Madrugada
Jheysson,2021-02-21 01:51:33,00:36:37,Samsung 2015 NT14M DTV Smart TV,00:37:14,00:37:14,BR (Brazil),2021,Fevereiro,21,1,Domingo,36.61666666666667,0.6102777777777778,0.02542824074074074,Cidade Invisível, Temporada 1, É um caminho sem volta (Episódio 2),Serie TV,Madrugada
Jheysson,2021-02-21 01:14:55,00:13:36,Samsung 2015 NT14M DTV Smart TV,00:36:05,00:36:05,BR (Brazil),2021,Fevereiro,21,1,Domingo,13.6,0.22666666666666666,0.009444444444444445,Cidade Invisível, Temporada 1, Queria muito que você estivesse aqui (Episódio 1),Serie TV,Madrugada
Jheysson,2020-10-31 00:20:26,00:01:35,Samsung 2015 NT14M DTV Smart TV,00:01:35,00:01:35,BR (Brazil),2020,Outubro,31,0,Sábado,1.5833333333333335,0.026388888888888892,0.001099537037037037,Temporada 1 (Trailer), Emily em Paris,,Filme,Madrugada
Jheysson,2020-10-30 23:34:28,00:42:28,Samsung 2015 NT14M DTV Smart TV,01:35:50,01:35:50,BR (Brazil),2020,Outubro,30,23,Sexta-feira,42.46666666666667,0.7077777777777778,0.029490740740740744,Fyre Festival, Fiasco no Caribe,,Filme,Madrugada
Jheysson,2020-10-30 23:14:33,00:01:46,Samsung 2015 NT14M DTV Smart TV,00:58:28,Not latest view,BR (Brazil),2020,Outubro,30,23,Sexta-feira,1.7666666666666666,0.029444444444444443,0.0012268518518518518,Fyre Festival, Fiasco no Caribe,,Filme,Madrugada
Jheysson,2020-10-30 17:36:10,00:33:33,Samsung 2015 NT14M DTV Smart TV,00:58:00,Not latest view,BR (Brazil),2020,Outubro,30,17,Sexta-feira,33.55,0.5591666666666666,0.023298611111111107,Fyre Festival, Fiasco no Caribe,,Filme,Tarde
Jheysson,2020-10-30 15:38:47,00:24:51,Samsung 2015 NT14M DTV Smart TV,00:24:29,Not latest view,BR (Brazil),2020,Outubro,30,15,Sexta-feira,24.85,0.4141666666666667,0.017256944444444446,Fyre Festival, Fiasco no Caribe,,Filme,Tarde
Jheysson,2020-10-16 04:35:05,00:21:09,Samsung 2015 NT14M DTV Smart TV,00:21:09,00:21:09,BR (Brazil),2020,Outubro,16,4,Sexta-feira,21.15,0.3525,0.0146875,Narcos, Temporada 1, A chegada (Episódio 1),Serie TV,Madrugada
Jheysson,2020-10-04 01:43:27,00:14:00,Samsung 2015 NT14M DTV Smart TV,00:14:05,00:14:05,BR (Brazil),2020,Outubro,4,1,Domingo,14.0,0.23333333333333334,0.009722222222222222,Vem Cantar! Estados Unidos, Temporada 1, Temas de filmes (Episódio 2),Serie TV,Madrugada
Jheysson,2020-10-04 01:08:00,00:35:10,Samsung 2015 NT14M DTV Smart TV,00:35:10,00:35:10,BR (Brazil),2020,Outubro,4,1,Domingo,35.166666666666664,0.586111111111111,0.02442129629629629,Vem Cantar! Estados Unidos, Temporada 1, Para esquentar a festa (Episódio 1),Serie TV,Madrugada
Jheysson,2020-10-04 01:00:41,00:06:34,Samsung 2015 NT14M DTV Smart TV,00:07:46,00:07:46,BR (Brazil),2020,Outubro,4,1,Domingo,6.566666666666666,0.10944444444444444,0.004560185185185185,Fearless – 8 Segundos para a Glória, Temporada 1, Agosto em Barretos (Episódio 2),Serie TV,Madrugada
Jheysson,2020-10-04 00:05:05,00:43:50,Samsung 2015 NT14M DTV Smart TV,00:44:06,00:44:06,BR (Brazil),2020,Outubro,4,0,Domingo,43.833333333333336,0.7305555555555556,0.03043981481481482,Fearless – 8 Segundos para a Glória, Temporada 1, O sucesso não tem fronteiras (Episódio 1),Serie TV,Madrugada
Jheysson,2020-09-13 06:18:27,00:12:58,Samsung 2015 NT14M DTV Smart TV,00:12:58,00:12:58,BR (Brazil),2020,Setembro,13,6,Domingo,12.966666666666667,0.21611111111111111,0.00900462962962963,Sugar Rush, Extra doce, Junk food (Episódio 1),Serie TV,Manhã
Jheysson,2020-09-11 04:37:45,00:13:49,Samsung 2015 NT14M DTV Smart TV,00:13:49,00:13:49,BR (Brazil),2020,Setembro,11,4,Sexta-feira,13.816666666666666,0.23027777777777778,0.009594907407407408,"Piscou, Dançou", Temporada 1, Episódio 1 (Episódio 1),Serie TV,Madrugada
Jheysson,2020-09-08 03:56:15,00:37:51,Samsung 2015 NT14M DTV Smart TV,00:37:59,00:37:59,BR (Brazil),2020,Setembro,8,3,Terça-feira,37.85,0.6308333333333334,0.026284722222222223,The Final Table - Que vença o melhor, Temporada 1, Índia (Episódio 5),Serie TV,Madrugada
Jheysson,2020-09-08 03:01:45,00:54:05,Samsung 2015 NT14M DTV Smart TV,00:53:30,00:53:30,BR (Brazil),2020,Setembro,8,3,Terça-feira,54.083333333333336,0.9013888888888889,0.03755787037037037,The Final Table - Que vença o melhor, Temporada 1, Brasil (Episódio 4),Serie TV,Madrugada
Jheysson,2020-09-07 21:48:57,00:35:42,Samsung 2015 NT14M DTV Smart TV,00:35:33,00:35:33,BR (Brazil),2020,Setembro,7,21,Segunda-feira,35.7,0.5950000000000001,0.02479166666666667,The Final Table - Que vença o melhor, Temporada 1, México (Episódio 1),Serie TV,Noite
Jheysson,2020-09-07 21:41:47,00:06:31,Samsung 2015 NT14M DTV Smart TV,00:06:31,00:06:31,BR (Brazil),2020,Setembro,7,21,Segunda-feira,6.516666666666667,0.10861111111111112,0.004525462962962963,"Três Esposas, Um Marido", Temporada 1, Episódio 1 (Episódio 1),Serie TV,Noite
Jheysson,2020-09-07 21:39:32,00:01:45,Samsung 2015 NT14M DTV Smart TV,00:01:45,00:01:45,BR (Brazil),2020,Setembro,7,21,Segunda-feira,1.75,0.029166666666666667,0.0012152777777777778,Ultimate Beastmaster Brasil, Sobrevivência do mais forte, A Fera se transforma (Episódio 1),Serie TV,Noite
Jheysson,2020-09-07 21:34:08,00:02:34,Samsung 2015 NT14M DTV Smart TV,00:02:34,00:02:34,BR (Brazil),2020,Setembro,7,21,Segunda-feira,2.5666666666666664,0.042777777777777776,0.0017824074074074072,Trailer, Amor Garantido,,Filme,Noite
Jheysson,2020-07-18 02:58:40,00:02:07,Chrome PC (Cadmium),00:02:07,00:02:07,BR (Brazil),2020,Julho,18,2,Sábado,2.1166666666666667,0.035277777777777776,0.0014699074074074074,Trailer, Encontro Fatal,,Filme,Madrugada
Jheysson,2020-07-18 00:58:57,01:50:05,Chrome PC (Cadmium),01:49:55,01:49:55,BR (Brazil),2020,Julho,18,0,Sábado,110.08333333333333,1.8347222222222221,0.07644675925925926,365 dni,,,Filme,Madrugada
Jheysson,2020-06-04 06:01:04,00:27:22,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:39:57,00:39:57,BR (Brazil),2020,Junho,4,6,Quinta-feira,27.366666666666667,0.45611111111111113,0.01900462962962963,A Rainha do Sul, Temporada 3, O mundo (Episódio 13),Serie TV,Manhã
Jheysson,2020-06-04 05:47:40,00:12:00,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:12:00,Not latest view,BR (Brazil),2020,Junho,4,5,Quinta-feira,12.0,0.2,0.008333333333333333,A Rainha do Sul, Temporada 3, O mundo (Episódio 13),Serie TV,Madrugada
Jheysson,2020-06-04 05:06:53,00:40:45,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:40:45,00:40:45,BR (Brazil),2020,Junho,4,5,Quinta-feira,40.75,0.6791666666666667,0.02829861111111111,A Rainha do Sul, Temporada 3, Justiça (Episódio 12),Serie TV,Madrugada
Jheysson,2020-06-04 04:25:55,00:40:56,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:40:56,00:40:56,BR (Brazil),2020,Junho,4,4,Quinta-feira,40.93333333333333,0.6822222222222222,0.028425925925925924,A Rainha do Sul, Temporada 3, Dez de copas (Episódio 11),Serie TV,Madrugada
Jheysson,2020-06-04 04:06:01,00:19:52,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:40:29,00:40:29,BR (Brazil),2020,Junho,4,4,Quinta-feira,19.866666666666667,0.33111111111111113,0.013796296296296298,A Rainha do Sul, Temporada 3, A morte (Episódio 10),Serie TV,Madrugada
Jheysson,2020-06-02 12:23:15,00:20:38,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:20:38,Not latest view,BR (Brazil),2020,Junho,2,12,Terça-feira,20.633333333333333,0.34388888888888886,0.014328703703703703,A Rainha do Sul, Temporada 3, A morte (Episódio 10),Serie TV,Tarde
Jheysson,2020-06-02 11:42:42,00:40:32,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:40:32,00:40:32,BR (Brazil),2020,Junho,2,11,Terça-feira,40.53333333333333,0.6755555555555556,0.028148148148148148,A Rainha do Sul, Temporada 3, O diabo (Episódio 9),Serie TV,Manhã
Jheysson,2020-06-02 11:01:54,00:40:46,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:40:46,00:40:46,BR (Brazil),2020,Junho,2,11,Terça-feira,40.766666666666666,0.6794444444444444,0.028310185185185185,A Rainha do Sul, Temporada 3, O carro (Episódio 8),Serie TV,Manhã
Jheysson,2020-06-02 10:44:05,00:17:46,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:40:49,00:40:49,BR (Brazil),2020,Junho,2,10,Terça-feira,17.766666666666666,0.2961111111111111,0.012337962962962962,A Rainha do Sul, Temporada 3, Rainha de espadas (Episódio 7),Serie TV,Manhã
Jheysson,2020-06-01 11:05:29,00:23:05,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:23:05,Not latest view,BR (Brazil),2020,Junho,1,11,Segunda-feira,23.083333333333332,0.3847222222222222,0.016030092592592592,A Rainha do Sul, Temporada 3, Rainha de espadas (Episódio 7),Serie TV,Manhã
Jheysson,2020-06-01 10:24:22,00:41:05,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:41:05,00:41:05,BR (Brazil),2020,Junho,1,10,Segunda-feira,41.083333333333336,0.6847222222222222,0.028530092592592593,A Rainha do Sul, Temporada 3, Os apaixonados (Episódio 6),Serie TV,Manhã
Jheysson,2020-06-01 09:43:32,00:40:39,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,00:40:39,00:40:39,BR (Brazil),2020,Junho,1,9,Segunda-feira,40.65,0.6775,0.028229166666666666,A Rainha do Sul, Temporada 3, O julgamento (Episódio 5),Serie TV,Manhã
