canal,nome_video,data_visualizacao,Ano,Mês,Dia,Dia da Semana,Parte do dia,hora
ge,CHAPECOENSE 2 X 3 CUIABÁ | MELHORES MOMENTOS | 12ª RODADA BRASILEIRÃO 2021 | ge.globoge18 de jul. de 2021 15:29:30 BRT,2021-07-18 15:29:30,2021,Julho,18,Domingo,Tarde,15
ESPN Brasil,"MICHAEL FAZ GOLAÇO, DIEGO ALVES BRILHA, E FLAMENGO VENCE NA ESTREIA DE RENATO GAÚCHO NA LIBERTADORESESPN Brasil18 de jul. de 2021 13:59:52 BRT",2021-07-18 13:59:52,2021,Julho,18,Domingo,Tarde,13
Flow Podcast,KID BENGALA [+ EMME WHITE] - Flow Fodcast #413Flow Podcast18 de jul. de 2021 11:34:32 BRT,2021-07-18 11:34:32,2021,Julho,18,Domingo,Manhã,11
"Nem, Amigos Podcast","#06 -  REENCONTRO IGÃO E CARTOLOUCO (PODPAH) - Nem, Amigos PodcastNem, Amigos Podcast18 de jul. de 2021 11:31:00 BRT",2021-07-18 11:31:00,2021,Julho,18,Domingo,Manhã,11
Cartoloucos,COCIELO: “YOUTUBER É TUDO INVEJOSO” - 100 PERGUNTASCartoloucos18 de jul. de 2021 11:30:55 BRT,2021-07-18 11:30:55,2021,Julho,18,Domingo,Manhã,11
"Cortes Nem, Amigos! [OFICIAL]","O DESIMPEDIDOS ACABOU? - CORTES DO NEM AMIGOS PODCASTCortes Nem, Amigos! [OFICIAL]18 de jul. de 2021 11:27:19 BRT",2021-07-18 11:27:19,2021,Julho,18,Domingo,Manhã,11
Os Amiguinhos,O Sapo Não Lava o Pé  + 1 Hora de musica infantil com Os AmiguinhosOs Amiguinhos18 de jul. de 2021 11:26:24 BRT,2021-07-18 11:26:24,2021,Julho,18,Domingo,Manhã,11
TAG,CONTROLE DO PS4 COM SURPRESA DENTRO 😅TAG18 de jul. de 2021 11:26:01 BRT,2021-07-18 11:26:01,2021,Julho,18,Domingo,Manhã,11
Venus Podcast,ZOE MARTINEZ - Venus Podcast #94Venus Podcast18 de jul. de 2021 11:00:10 BRT,2021-07-18 11:00:10,2021,Julho,18,Domingo,Manhã,11
Os Sócios Podcast,COMO É VIVER NUM PAÍS SOCIALISTA? | Os Sócios Podcast #23Os Sócios Podcast18 de jul. de 2021 10:59:59 BRT,2021-07-18 10:59:59,2021,Julho,18,Domingo,Manhã,10
Cortes Podcast,COMO É MORAR EM CUBA | Cortes PodcastCortes Podcast18 de jul. de 2021 10:59:15 BRT,2021-07-18 10:59:15,2021,Julho,18,Domingo,Manhã,10
BolsoNews B.N,Veja o que essa Cubana falou de Bolsonaro e Lula que deixou entrevistadora calada.BolsoNews B.N18 de jul. de 2021 10:58:49 BRT,2021-07-18 10:58:49,2021,Julho,18,Domingo,Manhã,10
Dp Guru {Durga Prasad patel},amazing video and work machine 385Dp Guru {Durga Prasad patel}18 de jul. de 2021 10:58:29 BRT,2021-07-18 10:58:29,2021,Julho,18,Domingo,Manhã,10
BestCut - Flow e PodPah | Melhores Cortes,nem quero imaginar o que passou na mente do Monark nessa hora. Kid Bengala no Flow! #ShortsBestCut - Flow e PodPah | Melhores Cortes18 de jul. de 2021 10:58:25 BRT,2021-07-18 10:58:25,2021,Julho,18,Domingo,Manhã,10
Youtube Shorts,Even the gta police is more aggressiveYoutube Shorts18 de jul. de 2021 10:58:00 BRT,2021-07-18 10:58:00,2021,Julho,18,Domingo,Manhã,10
Tharki Johny,Not Today Bro 😂 | gym comedy video .Tharki Johny18 de jul. de 2021 10:57:35 BRT,2021-07-18 10:57:35,2021,Julho,18,Domingo,Manhã,10
frases para status 30 segundo,"Com vocês e assim também, 🥰frases para status 30 segundo18 de jul. de 2021 10:57:25 BRT",2021-07-18 10:57:25,2021,Julho,18,Domingo,Manhã,10
